journey,conversion_flg,counts
Menu > added_item > Menu > added_item > Kids Menu > added_item > CheckoutViewController,true,18
viewed_favourite_store > Menu > added_item > Drinks > CheckoutViewController,true,18
viewed_favourite_store > Appetizers > added_item > Appetizers > Menu > added_item > CheckoutViewController,true,18
Menu > added_item > Menu > Appetizers > Menu > added_item > CheckoutViewController,true,18
Kids Menu > added_item > Menu > added_item > CheckoutActivity,true,18
viewed_favourite_store > added_item > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,18
Menu > added_item > Menu > added_item > Drinks > CheckoutViewController,true,18
Menu > added_item > Sauces & Sides > CheckoutViewController,true,18
Appetizers > added_item > Kids Menu > added_item > CheckoutActivity,true,18
added_item > Menu > added_item > Menu > added_item > CheckoutActivity,true,18
Quick_Reorder > Menu > CheckoutViewController,true,17
Appetizers > added_item > Appetizers > CheckoutViewController,true,17
Appetizers > added_item > Appetizers > added_item > Appetizers > added_item > Appetizers > added_item > CheckoutActivity,true,17
Quick_Reorder > Drinks > added_item > CheckoutViewController,true,17
Appetizers > added_item > Appetizers > added_item > Drinks > added_item > CheckoutViewController,true,17
Menu > added_item > Appetizers > Menu > added_item > CheckoutActivity,true,17
added_item > Menu > added_item > Appetizers > added_item > CheckoutActivity,true,17
Appetizers > Menu > added_item > Menu > added_item > CheckoutViewController,true,17
viewed_favourite_store > Appetizers > added_item > Appetizers > added_item > Drinks > added_item > CheckoutViewController,true,17
Menu > added_item > Menu > added_item > Sauces & Sides > added_item > CheckoutViewController,true,17
Menu > added_item > Menu > added_item > Drinks > added_item > CheckoutActivity,true,17
added_item > Appetizers > added_item > Appetizers > added_item > CheckoutViewController,true,16
Menu > Appetizers > added_item > Appetizers > added_item > CheckoutActivity,true,16
Quick_Reorder > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,16
Menu > added_item > Dessert > CheckoutViewController,true,16
viewed_favourite_store > Appetizers > added_item > Menu > added_item > Sauces & Sides > added_item > CheckoutViewController,true,16
viewed_favourite_store > added_item > Appetizers > added_item > Menu > added_item > CheckoutViewController,true,16
Appetizers > added_item > Menu > added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,16
viewed_favourite_store > Menu > added_item > Sauces & Sides > added_item > Sauces & Sides > added_item > CheckoutViewController,true,16
viewed_favourite_store > Menu > added_item > Kids Menu > added_item > Menu > added_item > CheckoutViewController,true,16
Menu > added_item > Kids Menu > added_item > Menu > added_item > CheckoutActivity,true,16
viewed_favourite_store > Menu > added_item > Sauces & Sides > CheckoutViewController,true,16
viewed_favourite_store > added_item > Drinks > added_item > Drinks > added_item > CheckoutViewController,true,16
viewed_favourite_store > Appetizers > added_item > Menu > added_item > Drinks > added_item > CheckoutViewController,true,16
Menu > added_item > Menu > added_item > Menu > added_item > Menu > added_item > Menu > added_item > CheckoutActivity,true,16
viewed_favourite_store > Menu > added_item > Appetizers > added_item > Appetizers > added_item > Menu > added_item > CheckoutViewController,true,16
Menu > added_item > Menu > added_item > Menu > CheckoutViewController,true,16
Drinks > added_item > CheckoutViewController,true,16
Kids Menu > added_item > Kids Menu > added_item > CheckoutActivity,true,15
viewed_favourite_store > Menu > added_item > Menu > added_item > Dessert > CheckoutViewController,true,15
Menu > added_item > Menu > added_item > Appetizers > added_item > Appetizers > added_item > CheckoutViewController,true,15
Appetizers > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,15
viewed_favourite_store > Menu > added_item > Menu > Sauces & Sides > added_item > CheckoutViewController,true,15
Kids Menu > added_item > Menu > added_item > Menu > added_item > CheckoutActivity,true,15
Menu > added_item > Menu > added_item > Kids Menu > added_item > CheckoutActivity,true,15
viewed_favourite_store > Menu > Appetizers > Menu > added_item > Menu > added_item > CheckoutViewController,true,15
viewed_favourite_store > Appetizers > added_item > viewed_favourite_store > Appetizers > added_item > CheckoutViewController,true,14
added_item > Dessert > CheckoutActivity,true,14
Menu > added_item > Appetizers > added_item > Drinks > added_item > CheckoutViewController,true,14
added_item > Appetizers > CheckoutViewController,true,14
Quick_Reorder > viewed_favourite_store > Quick_Reorder > CheckoutViewController,true,14
Quick_Reorder > viewed_favourite_store > Appetizers > added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,14
added_item > Kids Menu > added_item > Menu > added_item > CheckoutActivity,true,14
