journey,conversion_flg,counts
GuidedMenuViewController > PV: Appetizers > ProductViewController > GuestCheckoutTableViewController,false,27
StoreTableViewController > GuidedMenuViewController > PV: Entrees > ProductViewController > BasketViewController,false,27
ProductListActivity > PV: Dessert,false,27
ProductActivity > ProductListActivity > PV: Drinks > ProductActivity > CheckoutActivity,false,27
ProductActivity > ProductListActivity > PV: Menu Extras > ProductActivity > CheckoutActivity,false,26
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Dessert > ProductActivity > CheckoutActivity,false,26
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,26
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Menu Extras > ProductActivity > CheckoutActivity,false,26
ProductListActivity > PV: Entrees > ProductListActivity > PV: Entrees > ProductListActivity > PV: Entrees > ProductListActivity,false,25
GuidedMenuViewController > PV: Dessert > GuidedMenuViewController,false,25
ProductListActivity > PV: Dessert > ProductActivity > CheckoutActivity,false,25
GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController > PV: Entrees > ProductViewController > BasketViewController,false,25
StoreTableViewController > GuidedMenuViewController > PV:  Menu > GuidedMenuViewController,false,24
ProductListActivity > PV: Entrees > ProductListActivity > PV: Appetizers > ProductListActivity,false,24
GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Appetizers,false,24
ProductListActivity > PV: Entrees > ProductListActivity > PV: Entrees > ProductListActivity > PV: Entrees > ProductListActivity > PV: Entrees,false,23
StoreTableViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Entrees > ProductViewController,false,23
GuidedMenuViewController > PV: Menu Extras > GuidedMenuViewController,false,23
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > CheckoutActivity,false,23
GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Entrees,false,22
StoreTableViewController > GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController,false,22
GuidedMenuViewController > PV: Viewed Family Value Bundles,false,22
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > CheckoutActivity,false,21
ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity > ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,21
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees,false,21
GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Appetizers > GuidedMenuViewController,false,21
GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController > BasketViewController,false,21
GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController,false,21
ProductListActivity > PV: Entrees > ProductActivity > PV: Entrees,false,21
StoreTableViewController > GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController > PV: Entrees,false,20
GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController,false,20
ProductListActivity > PV: Menu Extras,false,20
StoreTableViewController > GuidedMenuViewController > StoreTableViewController > GuidedMenuViewController > PV: Entrees,false,20
ProductListActivity > PV: Entrees > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > CheckoutActivity,false,20
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity,false,19
StoreTableViewController > GuidedMenuViewController > PV: Entrees > StoreTableViewController > GuidedMenuViewController,false,19
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > ProductActivity > CheckoutActivity,false,19
StoreTableViewController > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController,false,19
StoreTableViewController > GuidedMenuViewController > PV: Appetizers > GuidedMenuViewController > PV: Appetizers,false,19
ProductListActivity > PV: Appetizers > ProductActivity > PV: Appetizers > CheckoutActivity,false,19
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Kids Menu > ProductActivity > CheckoutActivity,false,19
ProductActivity > CheckoutActivity > ProductActivity > CheckoutActivity,false,18
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > CheckoutActivity,false,18
GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Appetizers,false,18
GuidedMenuViewController > PV: Viewed Family Value Bundles > GuidedMenuViewController,false,18
