journey,conversion_flg,counts
viewed_favourite_store > Appetizers > Kids Menu > Menu,false,8
viewed_favourite_store > Drinks > added_item,false,8
viewed_favourite_store > Menu > Dessert > Menu,false,8
Drinks > Kids Menu,false,8
viewed_favourite_store > added_item > Appetizers,false,8
Appetizers > added_item > Menu > added_item > Appetizers > added_item > Menu > added_item,false,8
Drinks > added_item > Menu,false,8
Appetizers > Dessert > Menu,false,8
Menu > added_item > Quick_Reorder,false,8
Kids Menu > Menu > added_item,false,8
Menu > Appetizers > Menu > Dessert,false,8
Menu > Kids Menu > added_item,false,8
viewed_favourite_store > Appetizers > Menu > Dessert,false,8
added_item > Drinks > added_item > Drinks > added_item,false,8
viewed_favourite_store > Menu > ,false,8
viewed_favourite_store > Menu > added_item > Dessert > added_item,false,8
added_item > Menu > added_item > Menu > added_item,false,8
Appetizers > added_item > Menu > Appetizers,false,8
viewed_favourite_store > Menu > added_item > viewed_favourite_store > Menu > added_item,false,8
Drinks > Sauces & Sides,false,8
Menu > Appetizers > Menu > Kids Menu,false,8
viewed_favourite_store > added_item > Drinks > added_item,false,8
Menu > added_item > Menu > added_item > Dessert > added_item,false,8
Sauces & Sides > added_item,false,8
added_item > Menu > added_item > Menu,false,8
viewed_favourite_store > Menu > Appetizers > added_item > Appetizers > added_item,false,8
viewed_favourite_store > Menu > Quick_Reorder,false,8
Appetizers > added_item > Drinks,false,8
Menu > Appetizers > Sauces & Sides > Menu,false,8
Appetizers > added_item > Menu > added_item > Drinks > added_item,false,8
Menu > added_item > Drinks > Menu,false,8
Kids Menu > Sauces & Sides,false,8
Appetizers > Menu > Kids Menu > Sauces & Sides,false,8
viewed_favourite_store > Appetizers > Drinks,false,8
Appetizers > Menu > Appetizers > Menu > Appetizers,false,7
viewed_favourite_store > Drinks > viewed_favourite_store > Drinks,false,7
Menu > added_item > Menu > added_item > Menu > added_item > Appetizers > added_item,false,7
Menu > Kids Menu > Menu > Appetizers > Menu,false,7
Drinks > added_item > Menu > added_item,false,7
Appetizers > Sauces & Sides > Appetizers,false,7
Menu > Family Value Bundles > Appetizers,false,7
Menu > added_item > Menu > added_item > Drinks,false,7
viewed_favourite_store > Menu > added_item > Drinks,false,7
Menu > Kids Menu > Menu > Appetizers,false,7
Quick_Reorder > viewed_favourite_store > Appetizers > added_item > Menu > added_item,false,7
Menu > Appetizers > added_item > Appetizers,false,7
Appetizers > Family Value Bundles,false,7
Menu > added_item > Sauces & Sides > Appetizers,false,7
Menu > added_item > Menu > Appetizers > Menu > added_item,false,7
viewed_favourite_store > Menu > added_item > Menu > Appetizers,false,7
Appetizers > Menu Extras > Menu,false,7
Menu > added_item > Menu Extras,false,7
Menu > added_item > Menu > Sauces & Sides,false,7
Appetizers > Menu > added_item > Menu > added_item > Appetizers > added_item,false,7
 > Appetizers,false,7
Menu > Dessert > Menu > Appetizers,false,7
Appetizers > Family Value Bundles > Menu,false,7
Menu > added_item > Menu > Kids Menu,false,7
viewed_favourite_store > Menu > Kids Menu > Appetizers,false,7
Menu > added_item > Appetizers > added_item > Menu > added_item > Appetizers > added_item,false,7
Quick_Reorder > viewed_favourite_store > Dessert,false,7
Menu Extras > Menu > added_item,false,7
Menu > Appetizers > Drinks > Menu,false,7
Menu >  > Appetizers,false,7
Menu > Menu Extras > Appetizers,false,7
viewed_favourite_store > added_item > Kids Menu > added_item,false,7
added_item > Quick_Reorder,false,7
